,Component_,Connector_Data_,Connector_,Pattern_,Quality_Attribute_,Technology_,Requirement_,,
,,,,,,"carrierwave
",,,
,,,,,,"cassandra
",,,
,,,,,,"cassandra-2.0
",,,
,,,,,,"cdi
",,,
,,,,,,"celery
",,,
,,,,,,"cgi
",,,
,,,,,,"chart.js
",,,
,,,,,,"chef
",,,
,,,,,,"clojure
",,,
,,,,,,"clojurescript
",,,
,,,,,,"cloudfoundry
",,,
,,,,,,"cluster-computing
",,,
,,,,,,"cmake
",,,
,,,,,,"cocoa
",,,
,,,,,,"cocoa-touch
",,,
,,,,,,"cocoapods
",,,
,,,,,,"cocos2d-x
",,,
,,,,,,"codeigniter
",,,
,,,,,,"codeigniter-2
",,,
,,,,,,"codenameone
",,,
,,,,,,"coffeescript
",,,
,,,,,,"coldfusion
",,,
,,,,,,"coldfusion-9
",,,
,,,,,,"com
",,,
,,,,,,"com-interop
",,,
,,,,,,"common-lisp
",,,
,,,,,,"compact-framework
",,,
,,,,,,"compass-sass
",,,
,,,,,,"cordova
",,,
,,,,,,"cordova-plugins
",,,
,,,,,,"core-animation
",,,
,,,,,,"core-audio
",,,
,,,,,,"core-bluetooth
",,,
,,,,,,"core-data
",,,
,,,,,,"core-graphics
",,,
,,,,,,"core-location
",,,
,,,,,,"core-plot
",,,
,,,,,,"corona
",,,
,,,,,,"couchbase
",,,
,,,,,,"couchdb
",,,
,,,,,,"cq5
",,,
,,,,,,"cql
",,,
,,,,,,"cron
",,,
,,,,,,"crontab
",,,
,,,,,,"cruisecontrol.net
",,,
,,,,,,"crystal-reports
",,,
,,,,,,"css
",,,
,,,,,,"css3
",,,
,,,,,,"ctypes
",,,
,,,,,,"cuda
",,,
,,,,,,"cxf
",,,
,,,,,,"cygwin
",,,
,,,,,,"cypher
",,,
,,,,,,"cython
",,,
,,,,,,"d
",,,
,,,,,,"d3.js
",,,
,,,,,,"dapper
",,,
,,,,,,"dart
",,,
,,,,,,"datastax
",,,
,,,,,,"db2
",,,
,,,,,,"dbcontext
",,,
,,,,,,"delphi
",,,
,,,,,,"delphi-2010
",,,
,,,,,,"delphi-7
",,,
,,,,,,"delphi-xe
",,,
,,,,,,"delphi-xe2
",,,
,,,,,,"derby
",,,
,,,,,,"directshow
",,,
,,,,,,"directx
",,,
,,,,,,"directx-11
",,,
,,,,,,"django
",,,
,,,,,,"django-orm
",,,
,,,,,,"django-rest-framework
",,,
,,,,,,"doctrine
",,,
,,,,,,"doctrine2
",,,
,,,,,,"docusign
",,,
,,,,,,"dojo
",,,
,,,,,,"dotnetnuke
",,,
,,,,,,"dplyr
",,,
,,,,,,"dreamweaver
",,,
,,,,,,"drools
",,,
,,,,,,"dropzone.js
",,,
,,,,,,"drupal
",,,
,,,,,,"drupal-6
",,,
,,,,,,"drupal-7
",,,
,,,,,,"durandal
",,,
,,,,,,"dynamics-crm
",,,
,,,,,,"dynamics-crm-2011
",,,
,,,,,,"dynamics-crm-2013
",,,
,,,,,,"ecmascript-6
",,,
,,,,,,"ehcache
",,,
,,,,,,"eigen
",,,
,,,,,,"ejabberd
",,,
,,,,,,"ejb
",,,
,,,,,,"ejb-3.0
",,,
,,,,,,"el
",,,
,,,,,,"elastic-beanstalk
",,,
,,,,,,"elisp
",,,
,,,,,,"elixir
",,,
,,,,,,"eloquent
",,,
,,,,,,"ember.js
",,,
,,,,,,"emgucv
",,,
,,,,,,"enterprise-library
",,,
,,,,,,"enterprise library
",,,
,,,,,,"entity framework
",,,
,,,,,,"entity-framework
",,,
,,,,,,"entity-framework-4
",,,
,,,,,,"entity-framework-4.1
",,,
,,,,,,"entity-framework-5
",,,
,,,,,,"entity-framework-6
",,,
,,,,,,"erlang
",,,
,,,,,,"ews
",,,
,,,,,,"expressionengine
",,,
,,,,,,"extjs
",,,
,,,,,,"extjs4
",,,
,,,,,,"extjs4.1
",,,
,,,,,,"extjs4.2
",,,
,,,,,,"f#
",,,
,,,,,,"fabric
",,,
,,,,,,"fabricjs
",,,
,,,,,,"facebook-android-sdk
",,,
,,,,,,"facebook-c#-sdk
",,,
,,,,,,"facebook-fql
",,,
,,,,,,"facebook-graph-api
",,,
,,,,,,"facebook-ios-sdk
",,,
,,,,,,"facebook-javascript-sdk
",,,
,,,,,,"facebook-php-sdk
",,,
,,,,,,"facelets
",,,
,,,,,,"factory-girl
",,,
,,,,,,"factory girl
",,,
,,,,,,"fastcgi
",,,
,,,,,,"ffmpeg
",,,
,,,,,,"firebase
",,,
,,,,,,"firebase-database
",,,
,,,,,,"firebird
",,,
,,,,,,"firefox-addon-sdk
",,,
,,,,,,"firemonkey
",,,
,,,,,,"flash
",,,
,,,,,,"flash-cs5
",,,
,,,,,,"flask
",,,
,,,,,,"flask-sqlalchemy
",,,
,,,,,,"flex
",,,
,,,,,,"flex-lexer
",,,
,,,,,,"flex3
",,,
,,,,,,"flex4
",,,
,,,,,,"flex4.5
",,,
,,,,,,"flexbox
",,,
,,,,,,"flot
",,,
,,,,,,"fluent-nhibernate
",,,
,,,,,,"fluent nhibernate
",,,
,,,,,,"fortran
",,,
,,,,,,"fortran90
",,,
,,,,,,"fosuserbundle
",,,
,,,,,,"foursquare
",,,
,,,,,,"freemarker
",,,
,,,,,,"ftp
",,,
,,,,,,"fxml
",,,
,,,,,,"g++
",,,
,,,,,,"gcc
",,,
,,,,,,"gd
",,,
,,,,,,"gdi
",,,
,,,,,,"gdi+
",,,
,,,,,,"geojson
",,,
,,,,,,"ggplot2
",,,
,,,,,,"ghc
",,,
,,,,,,"ghostscript
",,,
,,,,,,"glassfish
",,,
,,,,,,"glassfish-3
",,,
,,,,,,"glsl
",,,
,,,,,,"glut
",,,
,,,,,,"gmail-api
",,,
,,,,,,"gmail api
",,,
,,,,,,"google-analytics-api
",,,
,,,,,,"google analytics api
",,,
,,,,,,"google-api
",,,
,,,,,,"google api
",,,
,,,,,,"google-app-engine
",,,
,,,,,,"google app engine
",,,
,,,,,,"google-cloud-endpoints
",,,
,,,,,,"google cloud endpoints
",,,
,,,,,,"google-cloud-messaging
",,,
,,,,,,"google cloud messaging
",,,
,,,,,,"google-cloud-platform
",,,
,,,,,,"google cloud
",,,
,,,,,,"google-cloud-storage
",,,
,,,,,,"google-compute-engine
",,,
,,,,,,"google-drive-sdk
",,,
,,,,,,"google-maps-android-api-2
",,,
,,,,,,"google-maps-api-2
",,,
,,,,,,"google-maps-api-3
",,,
,,,,,,"google-oauth
",,,
,,,,,,"google oauth
",,,
,,,,,,"google-places-api
",,,
,,,,,,"google-play-services
",,,
,,,,,,"google-spreadsheet-api
",,,
,,,,,,"google-visualization
",,,
,,,,,,"gorm
",,,
,,,,,,"grails
",,,
,,,,,,"grails-2.0
",,,
,,,,,,"graph-databases
",,,
,,,,,,"graphviz
",,,
,,,,,,"groovy
",,,
,,,,,,"gson
",,,
,,,,,,"gstreamer
",,,
,,,,,,"gst
",,,
,,,,,,"gtk
",,,
,,,,,,"gtk3
",,,
,,,,,,"guava
",,,
,,,,,,"guice
",,,
,,,,,,"gulp
",,,
,,,,,,"gunicorn
",,,
,,,,,,"gwt
",,,
,,,,,,"gxt
",,,
,,,,,,"h.264
",,,
,,,,,,"h2
",,,
,,,,,,"hadoop
",,,
,,,,,,"haml
",,,
,,,,,,"handlebars.js
",,,
,,,,,,"haskell
",,,
,,,,,,"hbase
",,,
,,,,,,"hdfs
",,,
,,,,,,"heroku
",,,
,,,,,,"hibernate
",,,
,,,,,,"highcharts
",,,
,,,,,,"highstock
",,,
,,,,,,"hive
",,,
,,,,,,"hql
",,,
,,,,,,"hsqldb
",,,
,,,,,,"html
",,,
,,,,,,"html5
",,,
,,,,,,"http
",,,
,,,,,,"https
",,,
,,,,,,"hudson
",,,
,,,,,,"iad
",,,
,,,,,,"ibm-bluemix
",,,
,,,,,,"ibm bluemix
",,,
,,,,,,"ibm-midrange
",,,
,,,,,,"ibm midrange
",,,
,,,,,,"ibm-mobilefirst
",,,
,,,,,,"ibm mobilefirst
",,,
,,,,,,"igraph
",,,
,,,,,,"iis
",,,
,,,,,,"iis-6
",,,
,,,,,,"iis-7
",,,
,,,,,,"iis-7.5
",,,
,,,,,,"iis-express
",,,
,,,,,,"imap
",,,
,,,,,,"in-app-billing
",,,
,,,,,,"in-app-purchase
",,,
,,,,,,"indexeddb
",,,
,,,,,,"indy
",,,
,,,,,,"informix
",,,
,,,,,,"innodb
",,,
,,,,,,"instagram
",,,
,,,,,,"instagram-api
",,,
,,,,,,"ionic
",,,
,,,,,,"ionic-framework
",,,
,,,,,,"ionic2
",,,
,,,,,,"iphone-sdk-3.0
",,,
,,,,,,"ipv6
",,,
,,,,,,"iron-router
",,,
,,,,,,"ironpython
",,,
,,,,,,"itext
",,,
,,,,,,"itextsharp
",,,
,,,,,,"jackson
",,,
,,,,,,"jade
",,,
,,,,,,"jasper
",,,
,,,,,,"jasper-reports
",,,
,,,,,,"java
",,,
,,,,,,"java-7
",,,
,,,,,,"java-8
",,,
,,,,,,"java-ee
",,,
,,,,,,"java-ee-6
",,,
,,,,,,"java-me
",,,
,,,,,,"java-web-start
",,,
,,,,,,"javafx
",,,
,,,,,,"javafx-2
",,,
,,,,,,"javafx-8
",,,
,,,,,,"javamail
",,,
,,,,,,"javascript
",,,
,,,,,,"jax-rs
",,,
,,,,,,"jax rs
",,,
,,,,,,"jax-ws
",,,
,,,,,,"jax ws
",,,
,,,,,,"jaxb
",,,
,,,,,,"jboss
",,,
,,,,,,"jboss7.x
",,,
,,,,,,"jdbc
",,,
,,,,,,"jena
",,,
,,,,,,"jenkins
",,,
,,,,,,"jersey
",,,
,,,,,,"jersey-2.0
",,,
,,,,,,"jetty
",,,
,,,,,,"jface
",,,
,,,,,,"jfreechart
",,,
,,,,,,"jinja2
",,,
,,,,,,"jms
",,,
,,,,,,"jmx
",,,
,,,,,,"jna
",,,
,,,,,,"jndi
",,,
,,,,,,"jni
",,,
,,,,,,"joomla
",,,
,,,,,,"joomla1.5
",,,
,,,,,,"joomla2.5
",,,
,,,,,,"joomla3.0
",,,
,,,,,,"jpa
",,,
,,,,,,"jpa-2.0
",,,
,,,,,,"jpql
",,,
,,,,,,"jqplot
",,,
,,,,,,"jquery
",,,
,,,,,,"jruby
",,,
,,,,,,"jsf
",,,
,,,,,,"jsf-2
",,,
,,,,,,"jsf-2.2
",,,
,,,,,,"jsfiddle
",,,
,,,,,,"json
",,,
,,,,,,"json.net
",,,
,,,,,,"jsoup
",,,
,,,,,,"jsp
",,,
,,,,,,"jstl
",,,
,,,,,,"julia
",,,
,,,,,,"julia-lang
",,,
,,,,,,"julialang
",,,
,,,,,,"jvm
",,,
,,,,,,"jython
",,,
,,,,,,"kendo-ui
",,,
,,,,,,"kerberos
",,,
,,,,,,"kineticjs
",,,
,,,,,,"kivy
",,,
,,,,,,"kml
",,,
,,,,,,"knitr
",,,
,,,,,,"knockout.js
",,,
,,,,,,"kohana
",,,
,,,,,,"kotlin
",,,
,,,,,,"ksh
",,,
,,,,,,"ksoap2
",,,
,,,,,,"kubernetes
",,,
,,,,,,"laravel
",,,
,,,,,,"laravel-4
",,,
,,,,,,"laravel-5
",,,
,,,,,,"laravel-5.1
",,,
,,,,,,"laravel-5.2
",,,
,,,,,,"ldap
",,,
,,,,,,"leaflet
",,,
,,,,,,"libcurl
",,,
,,,,,,"libgdx
",,,
,,,,,,"libxml2
",,,
,,,,,,"liferay
",,,
,,,,,,"liferay-6
",,,
,,,,,,"linq
",,,
,,,,,,"liquibase
",,,
,,,,,,"liquid
",,,
,,,,,,"lisp
",,,
,,,,,,"lodash
",,,
,,,,,,"log4j
",,,
,,,,,,"log4j2
",,,
,,,,,,"log4net
",,,
,,,,,,"logback
",,,
,,,,,,"loopbackjs
",,,
,,,,,,"lotus-domino
",,,
,,,,,,"lotus domino
",,,
,,,,,,"lua
",,,
,,,,,,"lucene
",,,
,,,,,,"lucene.net
",,,
,,,,,,"lwjgl
",,,
,,,,,,"lxml
",,,
,,,,,,"magento
",,,
,,,,,,"magento-1.7
",,,
,,,,,,"magento-1.9
",,,
,,,,,,"mahout
",,,
,,,,,,"mamp
",,,
,,,,,,"mapbox
",,,
,,,,,,"mapkit
",,,
,,,,,,"mariadb
",,,
,,,,,,"marionette
",,,
,,,,,,"marklogic
",,,
,,,,,,"matplotlib
",,,
,,,,,,"mdx
",,,
,,,,,,"mechanize
",,,
,,,,,,"mediawiki
",,,
,,,,,,"mef
",,,
,,,,,,"meteor
",,,
,,,,,,"mfc
",,,
,,,,,,"microsoft-dynamics
",,,
,,,,,,"microsoft dynamics
",,,
,,,,,,"middleware
",,,
,,,,,,"midi
",,,
,,,,,,"momentjs
",,,
,,,,,,"mongodb
",,,
,,,,,,"mongodb-csharp
",,,
,,,,,,"mongoose
",,,
,,,,,,"mono
",,,
,,,,,,"moodle
",,,
,,,,,,"mootools
",,,
,,,,,,"mpi
",,,
,,,,,,"mqtt
",,,
,,,,,,"msmq
",,,
,,,,,,"mule
",,,
,,,,,,"mustache
",,,
,,,,,,"mybatis
",,,
,,,,,,"mysql
",,,
,,,,,,"mysql-python
",,,
,,,,,,"mysqli
",,,
,,,,,,"neo4j
",,,
,,,,,,"netlogo
",,,
,,,,,,"netsuite
",,,
,,,,,,"netty
",,,
,,,,,,"networkx
",,,
,,,,,,"nfc
",,,
,,,,,,"nginx
",,,
,,,,,,"nhibernate
",,,
,,,,,,"ninject
",,,
,,,,,,"nio
",,,
,,,,,,"nltk
",,,
,,,,,,"node.js
",,,
,,,,,,"nokogiri
",,,
,,,,,,"nosql
",,,
,,,,,,"nservicebus
",,,
,,,,,,"numpy
",,,
,,,,,,"nutch
",,,
,,,,,,"nvd3.js
",,,
,,,,,,"objective-c
",,,
,,,,,,"objective c
",,,
,,,,,,"ocaml
",,,
,,,,,,"odata
",,,
,,,,,,"odbc
",,,
,,,,,,"odoo
",,,
,,,,,,"odoo-8
",,,
,,,,,,"olap
",,,
,,,,,,"oledb
",,,
,,,,,,"omniauth
",,,
,,,,,,"oozie
",,,
,,,,,,"opencl
",,,
,,,,,,"opencv
",,,
,,,,,,"openerp
",,,
,,,,,,"openfire
",,,
,,,,,,"opengl
",,,
,,,,,,"opengl-es
",,,
,,,,,,"opengl-es-2.0
",,,
,,,,,,"opengraph
",,,
,,,,,,"openid
",,,
,,,,,,"openlayers
",,,
,,,,,,"openlayers-3
",,,
,,,,,,"openmp
",,,
,,,,,,"openshift
",,,
,,,,,,"openssl
",,,
,,,,,,"openstack
",,,
,,,,,,"openxml
",,,
,,,,,,"oracle
",,,
,,,,,,"oracle-adf
",,,
,,,,,,"oracle-apex
",,,
,,,,,,"oracle10g
",,,
,,,,,,"oracle11g
",,,
,,,,,,"orchardcms
",,,
,,,,,,"orientdb
",,,
,,,,,,"orm
",,,
,,,,,,"ormlite
",,,
,,,,,,"osgi
",,,
,,,,,,"owin
",,,
,,,,,,"owl
",,,
,,,,,,"pandas
",,,
,,,,,,"paperclip
",,,
,,,,,,"parse.com
",,,
,,,,,,"pascal
",,,
,,,,,,"passenger
",,,
,,,,,,"passport.js
",,,
,,,,,,"paypal-ipn
",,,
,,,,,,"pentaho
",,,
,,,,,,"perl
",,,
,,,,,,"phalcon
",,,
,,,,,,"phantomjs
",,,
,,,,,,"php
",,,
,,,,,,"php-5.3
",,,
,,,,,,"phpexcel
",,,
,,,,,,"picasso
",,,
,,,,,,"playframework
",,,
,,,,,,"playframework-2.0
",,,
,,,,,,"plone
",,,
,,,,,,"plsql
",,,
,,,,,,"polymer
",,,
,,,,,,"polymer-1.0
",,,
,,,,,,"posix
",,,
,,,,,,"postgresql
",,,
,,,,,,"postgresql-9.1
",,,
,,,,,,"primefaces
",,,
,,,,,,"prism
",,,
,,,,,,"protobuf
",,,
,,,,,,"protobuf-net
",,,
,,,,,,"protocol-buffers
",,,
,,,,,,"prototypejs
",,,
,,,,,,"psycopg2
",,,
,,,,,,"pthreads
",,,
,,,,,,"pygame
",,,
,,,,,,"pymongo
",,,
,,,,,,"pyspark
",,,
,,,,,,"python
",,,
,,,,,,"python-2.7
",,,
,,,,,,"python-2.x
",,,
,,,,,,"python-3.4
",,,
,,,,,,"python-3.x
",,,
,,,,,,"python-imaging-library
",,,
,,,,,,"python-requests
",,,
,,,,,,"qml
",,,
,,,,,,"qr-code
",,,
,,,,,,"qt
",,,
,,,,,,"qt4
",,,
,,,,,,"qt5
",,,
,,,,,,"quartz-graphics
",,,
,,,,,,"quartz-scheduler
",,,
,,,,,,"quickblox
",,,
,,,,,,"rabbitmq
",,,
,,,,,,"rails
",,,
,,,,,,"rails-activerecord
",,,
,,,,,,"rally
",,,
,,,,,,"raphael
",,,
,,,,,,"ravendb
",,,
,,,,,,"razor
",,,
,,,,,,"rcpp
",,,
,,,,,,"rdbms
",,,
,,,,,,"rdd
",,,
,,,,,,"react
",,,
,,,,,,"react-native
",,,
,,,,,,"react-router
",,,
,,,,,,"reactjs
",,,
,,,,,,"realm
",,,
,,,,,,"redis
",,,
,,,,,,"relational-database
",,,
,,,,,,"relational database
",,,
,,,,,,"reporting-services
",,,
,,,,,,"reporting services
",,,
,,,,,,"resteasy
",,,
,,,,,,"restkit
",,,
,,,,,,"restlet
",,,
,,,,,,"retrofit
",,,
,,,,,,"richfaces
",,,
,,,,,,"rmi
",,,
,,,,,,"rpc
",,,
,,,,,,"rspec
",,,
,,,,,,"rspec2
",,,
,,,,,,"rss
",,,
,,,,,,"rtsp
",,,
,,,,,,"ruby
",,,
,,,,,,"ruby-on-rails
",,,
,,,,,,"ruby-on-rails-3
",,,
,,,,,,"ruby-on-rails-3.1
",,,
,,,,,,"ruby-on-rails-3.2
",,,
,,,,,,"ruby-on-rails-4
",,,
,,,,,,"rust
",,,
,,,,,,"rx-java
",,,
,,,,,,"rxjs
",,,
,,,,,,"sails.js
",,,
,,,,,,"salesforce
",,,
,,,,,,"saml
",,,
,,,,,,"saml-2.0
",,,
,,,,,,"sap
",,,
,,,,,,"sass
",,,
,,,,,,"sax
",,,
,,,,,,"scala
",,,
,,,,,,"scenekit
",,,
,,,,,,"scheme
",,,
,,,,,,"scikit-learn
",,,
,,,,,,"scipy
",,,
,,,,,,"scrapy
",,,
,,,,,,"sdk
",,,
,,,,,,"sdl
",,,
,,,,,,"seam
",,,
,,,,,,"selenium
",,,
,,,,,,"sencha
",,,
,,,,,,"sencha-touch
",,,
,,,,,,"sencha-touch-2
",,,
,,,,,,"sequelize.js
",,,
,,,,,,"servlets
",,,
,,,,,,"sfml
",,,
,,,,,,"sftp
",,,
,,,,,,"sharepoint
",,,
,,,,,,"sharepoint-2007
",,,
,,,,,,"sharepoint-2010
",,,
,,,,,,"sharepoint-2013
",,,
,,,,,,"shiny
",,,
,,,,,,"shopify
",,,
,,,,,,"sidekiq
",,,
,,,,,,"signalr
",,,
,,,,,,"silverlight
",,,
,,,,,,"silverlight-3.0
",,,
,,,,,,"silverlight-4.0
",,,
,,,,,,"silverlight-5.0
",,,
,,,,,,"silverstripe
",,,
,,,,,,"sinatra
",,,
,,,,,,"sip
",,,
,,,,,,"sitecore
",,,
,,,,,,"slick
",,,
,,,,,,"slim
",,,
,,,,,,"smalltalk
",,,
,,,,,,"smartgwt
",,,
,,,,,,"sml
",,,
,,,,,,"smtp
",,,
,,,,,,"snmp
",,,
,,,,,,"soa
",,,
,,,,,,"soap
",,,
,,,,,,"socket.io
",,,
,,,,,,"solr
",,,
,,,,,,"soundcloud
",,,
,,,,,,"spark-streaming
",,,
,,,,,,"sparql
",,,
,,,,,,"sphinx
",,,
,,,,,,"spree
",,,
,,,,,,"spring
",,,
,,,,,,"spring-aop
",,,
,,,,,,"spring-batch
",,,
,,,,,,"spring-boot
",,,
,,,,,,"spring-data
",,,
,,,,,,"spring-data-jpa
",,,
,,,,,,"spring-integration
",,,
,,,,,,"spring-mvc
",,,
,,,,,,"spring-roo
",,,
,,,,,,"spring-security
",,,
,,,,,,"spring-webflow
",,,
,,,,,,"sprite-kit
",,,
,,,,,,"sql
",,,
,,,,,,"sql-azure
",,,
,,,,,,"sql-server
",,,
,,,,,,"sql-server-2000
",,,
,,,,,,"sql-server-2005
",,,
,,,,,,"sql-server-2008
",,,
,,,,,,"sql-server-2008-r2
",,,
,,,,,,"sql-server-2012
",,,
,,,,,,"sql-server-2014
",,,
,,,,,,"sql-server-ce
",,,
,,,,,,"sql-server-express
",,,
,,,,,,"sqlalchemy
",,,
,,,,,,"sqlite
",,,
,,,,,,"sqlite3
",,,
,,,,,,"sqoop
",,,
,,,,,,"ssas
",,,
,,,,,,"ssis
",,,
,,,,,,"ssl
",,,
,,,,,,"ssrs
",,,
,,,,,,"ssrs-2008
",,,
,,,,,,"ssrs-2008-r2
",,,
,,,,,,"ssrs-2012
",,,
,,,,,,"stanford-nlp
",,,
,,,,,,"stl
",,,
,,,,,,"stripe-payments
",,,
,,,,,,"struts
",,,
,,,,,,"struts2
",,,
,,,,,,"subsonic
",,,
,,,,,,"sugarcrm
",,,
,,,,,,"swagger
",,,
,,,,,,"swift
",,,
,,,,,,"swift2
",,,
,,,,,,"swing
",,,
,,,,,,"swt
",,,
,,,,,,"sybase
",,,
,,,,,,"symfony
",,,
,,,,,,"symfony-1.4
",,,
,,,,,,"symfony-forms
",,,
,,,,,,"symfony1
",,,
,,,,,,"symfony2
",,,
,,,,,,"symfony3
",,,
,,,,,,"t4
",,,
,,,,,,"tableau
",,,
,,,,,,"tcp
",,,
,,,,,,"tensorflow
",,,
,,,,,,"teradata
",,,
,,,,,,"tesseract
",,,
,,,,,,"theano
",,,
,,,,,,"three.js
",,,
,,,,,,"thrift
",,,
,,,,,,"thymeleaf
",,,
,,,,,,"titanium
",,,
,,,,,,"titanium-mobile
",,,
,,,,,,"tk
",,,
,,,,,,"tkinter
",,,
,,,,,,"tomcat
",,,
,,,,,,"tomcat6
",,,
,,,,,,"tomcat7
",,,
,,,,,,"tornado
",,,
,,,,,,"tridion
",,,
,,,,,,"tsql
",,,
,,,,,,"tumblr
",,,
,,,,,,"twig
",,,
,,,,,,"twilio
",,,
,,,,,,"twisted
",,,
,,,,,,"twitter-oauth
",,,
,,,,,,"twitter oauth
",,,
,,,,,,"twitter4j
",,,
,,,,,,"udp
",,,
,,,,,,"umbraco
",,,
,,,,,,"underscore.js
",,,
,,,,,,"unity-container
",,,
,,,,,,"unity3d
",,,
,,,,,,"unity5
",,,
,,,,,,"unityscript
",,,
,,,,,,"urllib
",,,
,,,,,,"urllib2
",,,
,,,,,,"uwp
",,,
,,,,,,"uwsgi
",,,
,,,,,,"v8
",,,
,,,,,,"vaadin
",,,
,,,,,,"varnish
",,,
,,,,,,"vb.net
",,,
,,,,,,"vb.net-2010
",,,
,,,,,,"vb6
",,,
,,,,,,"vba
",,,
,,,,,,"vbscript
",,,
,,,,,,"velocity
",,,
,,,,,,"verilog
",,,
,,,,,,"vhdl
",,,
,,,,,,"video.js
",,,
,,,,,,"videoview
",,,
,,,,,,"vue.js
",,,
,,,,,,"wamp
",,,
,,,,,,"wampserver
",,,
,,,,,,"watchkit
",,,
,,,,,,"wcf
",,,
,,,,,,"wcf-data-services
",,,
,,,,,,"wcf-ria-services
",,,
,,,,,,"web-api
",,,
,,,,,,"web api
",,,
,,,,,,"web-crawler
",,,
,,,,,,"web-services
",,,
,,,,,,"web service
",,,
,,,,,,"web2py
",,,
,,,,,,"webkit
",,,
,,,,,,"weblogic
",,,
,,,,,,"webmatrix
",,,
,,,,,,"webrtc
",,,
,,,,,,"websocket
",,,
,,,,,,"websphere
",,,
,,,,,,"websphere-mq
",,,
,,,,,,"weka
",,,
,,,,,,"wget
",,,
,,,,,,"wicket
",,,
,,,,,,"wif
",,,
,,,,,,"wildfly
",,,
,,,,,,"windows-azure-storage
",,,
,,,,,,"windows azure storage
",,,
,,,,,,"windows-services
",,,
,,,,,,"winforms
",,,
,,,,,,"winjs
",,,
,,,,,,"winrt-xaml
",,,
,,,,,,"winsock
",,,
,,,,,,"wmi
",,,
,,,,,,"word-vba
",,,
,,,,,,"workflow-foundation
",,,
,,,,,,"workflow foundation
",,,
,,,,,,"workflow-foundation-4
",,,
,,,,,,"wpf
",,,
,,,,,,"wsdl
",,,
,,,,,,"wsgi
",,,
,,,,,,"wso2
",,,
,,,,,,"wso2esb
",,,
,,,,,,"wxpython
",,,
,,,,,,"wxwidgets
",,,
,,,,,,"xamarin.android
",,,
,,,,,,"xamarin.forms
",,,
,,,,,,"xamarin.ios
",,,
,,,,,,"xaml
",,,
,,,,,,"xampp
",,,
,,,,,,"xhtml
",,,
,,,,,,"xml
",,,
,,,,,,"xml-rpc
",,,
,,,,,,"xmpp
",,,
,,,,,,"xna
",,,
,,,,,,"xna-4.0
",,,
,,,,,,"xpages
",,,
,,,,,,"xpath
",,,
,,,,,,"xquery
",,,
,,,,,,"xsd
",,,
,,,,,,"xul
",,,
,,,,,,"yaml
",,,
,,,,,,"yarn
",,,
,,,,,,"yii
",,,
,,,,,,"yii2
",,,
,,,,,,"yui
",,,
,,,,,,"zend
",,,
,,,,,,"zend-framework
",,,
,,,,,,"zend-framework2
",,,
,,,,,,"zeromq
",,,
,,,,,,"zlib
",,,
,,,,,,"zookeeper
",,,
,,,,,,"zurb
",,,
,,,,,,"zurb-foundation
",,,
,,,,,,"zxing
",,,
,,,,,,"accumulo
",,,
,,,,,,"riak
",,,
,,,,,,"foundationdb
",,,
,,,,,,"voltdb
",,,
,,,,,,"beam
",,,
,,,,,,"systemml
",,,
,,,,,,"cloveretl
",,,
,,,,,,"hibari
",,,
,,,,,,"monetdb
",,,
,,,,,,"nosqlz
",,,
,,,,,,"qizx
",,,
,,,,,,"hana
",,,
,,,,,,"sqream
",,,
,,,,,,"xgboost
",,,
,,,,,,"ambari
",,,
,,,,,,"giraph
",,,
,,,,,,"hive
",,,
,,,,,,"trafodion
",,,
,,,,,,"cloudera
",,,
,,,,,,"deeplearning4j
",,,
,,,,,,"geomesa
",,,
,,,,,,"gremlin
",,,
,,,,,,"impala
",,,
,,,,,,"jumbune
",,,
,,,,,,"mapr
",,,
,,,,,,"nd4j
",,,
,,,,,,vue,,,
,,,,,,flume,,,
,,,,,,Flume,,,
,,,,,,Vue,,,
,,,,,,alloydb,,,
,,,,,,ksqldb,,,
,,,,,,node,,,
,,,,,,maven,,,
,,,,,,wordpress,,,
,,,,,,docker,,,
,,,,,,javaee,,,
,,,,,,Node,,,
,,,,,,Apache Pulsar,,,
,,,,,,pulsar,,,
,,,,,,visual_studio,,,
,,,,,,r_studio,,,
,,,,,,visual_basic,,,
,,,,,,etl,,,
,,,,,,spring_boot,,,
,,,,,,github,,,
,,,,,,Github,,,
,,,,,,GitHub,,,
,,,,,,tool,,,
,,,,,,android,,,
