,"Design using 
patterns and 
components","Achieve quality attributes 
using  components
 design","Implement 
technologies 
and components design","Analyze decision 
factors","Compare and 
evaluate 
technologies","Design
using multiple 
technologies"
Identify concepts,5,4,4,2,2,5
Identify concepts,4,5,4,3,3,5
Identify concepts,2,5,4,3,3,5
Identify concepts,2,4,3,2,2,5
Identify concepts,3,3,4,2,3,3
Identify concepts,4,3,5,3,2,2
Identify concepts,4,3,3,4,3,4
Identify concepts,3,4,5,2,4,2
Identify concepts,3,4,4,2,4,4
Identify concepts,3,4,4,2,3,3
Identify concepts,4,3,2,2,5,4
Identify concepts,3,4,3,2,3,2
Identify concepts,2,5,4,4,3,3
Identify concepts,3,4,2,3,3,4
Identify concepts,3,4,5,5,3,4
Identify concepts,4,3,4,3,4,4
Identify concepts,2,3,4,4,4,4
Identify concepts,5,5,4,2,4,5
Identify concepts,2,4,5,3,3,4
Identify concepts,3,4,4,3,,3
Identify concepts,4,3,4,2,,4
Identify concepts,4,3,3,3,,3
Identify concepts,5,4,2,2,,4
Identify concepts,4,5,2,5,,4
Identify concepts,4,2,3,5,,2
Identify concepts,,4,2,4,,4
Identify concepts,,4,4,5,,4
Identify concepts,,2,2,4,,3
Identify concepts,,4,4,4,,4
Identify concepts,,2,3,5,,
Identify concepts,,5,2,4,,
Identify concepts,,5,2,2,,
Identify concepts,,4,3,3,,
Identify concepts,,5,3,2,,
Identify concepts,,5,4,,,
Identify concepts,,4,4,,,
Identify concepts,,5,4,,,
Identify concepts,,4,4,,,
Identify concepts,,2,4,,,
Identify concepts,,4,4,,,
Identify concepts,,2,2,,,
Identify concepts,,3,4,,,
Identify concepts,,4,3,,,
Identify concepts,,3,4,,,
Identify concepts,,3,2,,,
Identify concepts,,2,3,,,
Identify concepts,,4,4,,,
Identify concepts,,4,5,,,
Identify concepts,,4,4,,,
Identify concepts,,4,4,,,
Identify concepts,,3,4,,,
Identify concepts,,4,4,,,
Identify concepts,,4,5,,,
Identify concepts,,4,5,,,
Identify concepts,,4,5,,,
Identify concepts,,3,4,,,
Identify concepts,,5,3,,,
Identify concepts,,3,3,,,
Identify concepts,,3,3,,,
Identify concepts,,2,3,,,
Identify concepts,,2,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,5,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,5,,,
Identify concepts,,,5,,,
Identify concepts,,,3,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,2,,,
Identify concepts,,,5,,,
Identify concepts,,,4,,,
Identify concepts,,,5,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,5,,,
Identify concepts,,,3,,,
Identify concepts,,,2,,,
Identify concepts,,,4,,,
Identify concepts,,,2,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,2,,,
Identify concepts,,,2,,,
Identify concepts,,,2,,,
Identify concepts,,,3,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,2,,,
Identify concepts,,,5,,,
Identify concepts,,,3,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,5,,,
Identify concepts,,,3,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,5,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,4,,,
Identify concepts,,,5,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,2,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,5,,,
Identify concepts,,,2,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,5,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,4,,,
Identify concepts,,,2,,,
Identify concepts,,,5,,,
Identify concepts,,,2,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,3,,,
Identify concepts,,,4,,,
Identify concepts,,,3,,,
Identify concepts,,,2,,,
Identify concepts,,,2,,,
Select concepts,3,4,5,3,4,3
Select concepts,2,4,3,2,4,4
Select concepts,3,5,3,3,4,3
Select concepts,4,5,2,3,3,4
Select concepts,3,5,3,3,3,4
Select concepts,4,5,3,3,3,4
Select concepts,4,5,3,3,4,4
Select concepts,4,5,4,4,5,4
Select concepts,3,5,4,3,3,5
Select concepts,3,4,4,3,3,3
Select concepts,4,4,3,3,3,4
Select concepts,4,4,5,2,3,4
Select concepts,4,3,5,2,4,
Select concepts,5,4,5,3,3,
Select concepts,5,4,3,3,4,
Select concepts,4,4,4,2,4,
Select concepts,4,5,3,2,3,
Select concepts,4,4,4,3,4,
Select concepts,4,4,4,3,4,
Select concepts,4,3,2,3,3,
Select concepts,3,3,,4,3,
Select concepts,5,3,,4,3,
Select concepts,4,3,,3,3,
Select concepts,4,4,,4,3,
Select concepts,3,4,,4,2,
Select concepts,4,4,,2,3,
Select concepts,2,3,,4,2,
Select concepts,2,4,,4,3,
Select concepts,5,3,,4,2,
Select concepts,4,2,,2,3,
Select concepts,4,3,,2,3,
Select concepts,3,5,,3,3,
Select concepts,3,3,,2,3,
Select concepts,2,3,,3,5,
Select concepts,2,2,,2,4,
Select concepts,4,4,,3,3,
Select concepts,3,4,,4,2,
Select concepts,3,4,,2,3,
Select concepts,4,3,,2,3,
Select concepts,3,4,,2,5,
Select concepts,2,4,,3,5,
Select concepts,3,4,,4,5,
Select concepts,3,4,,5,4,
Select concepts,4,4,,2,4,
Select concepts,4,4,,2,2,
Select concepts,3,4,,2,4,
Select concepts,4,4,,5,3,
Select concepts,4,4,,4,3,
Select concepts,3,4,,4,4,
Select concepts,4,3,,4,3,
Select concepts,,4,,4,5,
Select concepts,,3,,3,3,
Select concepts,,3,,3,5,
Select concepts,,4,,2,3,
Select concepts,,2,,2,5,
Select concepts,,5,,3,4,
Select concepts,,2,,4,5,
Select concepts,,5,,4,2,
Select concepts,,4,,3,3,
Select concepts,,3,,4,2,
Select concepts,,4,,3,5,
Select concepts,,3,,3,2,
Select concepts,,5,,4,2,
Select concepts,,3,,5,4,
Select concepts,,4,,5,3,
Select concepts,,4,,5,4,
Select concepts,,4,,4,3,
Select concepts,,4,,3,3,
Select concepts,,4,,3,3,
Select concepts,,4,,2,4,
Select concepts,,3,,3,5,
Select concepts,,3,,2,3,
Select concepts,,4,,4,3,
Select concepts,,5,,4,3,
Select concepts,,3,,2,3,
Select concepts,,3,,3,2,
Select concepts,,4,,3,5,
Select concepts,,4,,4,4,
Select concepts,,3,,4,3,
Select concepts,,4,,3,4,
Select concepts,,3,,3,4,
Select concepts,,4,,3,3,
Select concepts,,4,,2,2,
Select concepts,,4,,,2,
Select concepts,,5,,,3,
Select concepts,,5,,,2,
Select concepts,,3,,,2,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,5,,,,
Select concepts,,5,,,,
Select concepts,,5,,,,
Select concepts,,3,,,,
Select concepts,,2,,,,
Select concepts,,2,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,3,,,,
Select concepts,,4,,,,
Select concepts,,3,,,,
Select concepts,,3,,,,
Select concepts,,4,,,,
Select concepts,,5,,,,
Select concepts,,5,,,,
Select concepts,,5,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,5,,,,
Select concepts,,4,,,,
Select concepts,,3,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,3,,,,
Select concepts,,4,,,,
Select concepts,,3,,,,
Select concepts,,3,,,,
Select concepts,,3,,,,
Select concepts,,3,,,,
Select concepts,,3,,,,
Select concepts,,2,,,,
Select concepts,,3,,,,
Select concepts,,4,,,,
Select concepts,,2,,,,
Select concepts,,5,,,,
Select concepts,,5,,,,
Select concepts,,4,,,,
Select concepts,,5,,,,
Select concepts,,4,,,,
Select concepts,,5,,,,
Select concepts,,5,,,,
Select concepts,,5,,,,
Select concepts,,5,,,,
Select concepts,,3,,,,
Select concepts,,3,,,,
Select concepts,,3,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,5,,,,
Select concepts,,5,,,,
Select concepts,,5,,,,
Select concepts,,5,,,,
Select concepts,,4,,,,
Select concepts,,3,,,,
Select concepts,,5,,,,
Select concepts,,3,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,3,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,5,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,2,,,,
Select concepts,,4,,,,
Select concepts,,5,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,5,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,5,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,2,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,4,,,,
Select concepts,,3,,,,
Select concepts,,3,,,,
Select concepts,,3,,,,
Select concepts,,4,,,,
Instantiate architecture elements,5,3,3,3,2,3
Instantiate architecture elements,5,3,3,2,3,4
Instantiate architecture elements,5,4,3,3,3,4
Instantiate architecture elements,4,4,3,3,2,3
Instantiate architecture elements,5,4,3,4,2,2
Instantiate architecture elements,5,3,3,,3,2
Instantiate architecture elements,4,4,2,,4,3
Instantiate architecture elements,4,4,2,,4,4
Instantiate architecture elements,5,2,4,,4,3
Instantiate architecture elements,5,3,3,,,5
Instantiate architecture elements,5,3,4,,,3
Instantiate architecture elements,5,2,2,,,3
Instantiate architecture elements,3,3,2,,,
Instantiate architecture elements,4,3,3,,,
Instantiate architecture elements,3,4,3,,,
Instantiate architecture elements,4,3,2,,,
Instantiate architecture elements,4,4,2,,,
Instantiate architecture elements,3,4,2,,,
Instantiate architecture elements,5,3,2,,,
Instantiate architecture elements,5,4,3,,,
Instantiate architecture elements,2,4,3,,,
Instantiate architecture elements,4,4,4,,,
Instantiate architecture elements,3,4,3,,,
Instantiate architecture elements,3,3,2,,,
Instantiate architecture elements,4,4,3,,,
Instantiate architecture elements,5,4,3,,,
Instantiate architecture elements,3,4,2,,,
Instantiate architecture elements,5,4,3,,,
Instantiate architecture elements,2,4,3,,,
Instantiate architecture elements,2,4,4,,,
Instantiate architecture elements,2,5,3,,,
Instantiate architecture elements,2,4,3,,,
Instantiate architecture elements,3,4,3,,,
Instantiate architecture elements,2,4,3,,,
Instantiate architecture elements,3,3,3,,,
Instantiate architecture elements,4,4,2,,,
Instantiate architecture elements,4,4,2,,,
Instantiate architecture elements,3,4,2,,,
Instantiate architecture elements,3,4,3,,,
Instantiate architecture elements,3,5,3,,,
Instantiate architecture elements,2,4,3,,,
Instantiate architecture elements,2,3,3,,,
Instantiate architecture elements,2,,3,,,
Instantiate architecture elements,4,,3,,,
Instantiate architecture elements,3,,4,,,
Instantiate architecture elements,3,,4,,,
Instantiate architecture elements,2,,3,,,
Instantiate architecture elements,2,,3,,,
Instantiate architecture elements,3,,4,,,
Instantiate architecture elements,3,,3,,,
Instantiate architecture elements,3,,4,,,
Instantiate architecture elements,2,,4,,,
Instantiate architecture elements,5,,3,,,
Instantiate architecture elements,4,,2,,,
Instantiate architecture elements,4,,2,,,
Instantiate architecture elements,4,,3,,,
Instantiate architecture elements,3,,3,,,
Instantiate architecture elements,4,,2,,,
Instantiate architecture elements,4,,4,,,
Instantiate architecture elements,4,,4,,,
Instantiate architecture elements,4,,3,,,
Instantiate architecture elements,4,,3,,,
Instantiate architecture elements,3,,2,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,2,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,5,,,,,
Instantiate architecture elements,4,,,,,
Instantiate architecture elements,3,,,,,
Instantiate architecture elements,4,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"Design using
patterns 
and  components","Achieve quality 
attributes using  
components design","Implement 
technologies and 
components design","Analyze decision 
factors","Compare and 
evaluate technologies","Design using 
multiple technologies"
Identify concepts,25,61,173,34,19,29
Select concepts,50,189,20,83,87,12
Instantiate architecture elements,255,42,63,5,9,12
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"Design using
patterns 
and  components","Achieve quality 
attributes using  
components design","Implement 
technologies and 
components design","Analyze decision 
factors","Compare and 
evaluate technologies","Design using 
multiple technologies"
Identify concepts,Yes,No,,,,
Select concepts,No,,,,,
Instantiate architecture elements,,,,,,
